Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\DSM_VB2032-241203\Project Outputs for DSM_VB2032-241203\Pick Place for DSM_VB2032-241203_Pcb.csv

========================================================================================================================
File Design Information:

Date:       13/08/26
Time:       16:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R15","0Ω,5%//NC","TopLayer","R0201","-5.1000","0.4000","0","贴片电阻","-5.1000","0.4000","-5.4000","0.4000"
"R14","1KΩ,5%","TopLayer","R0201","1.1500","4.2750","270","贴片电阻","1.1500","4.2750","1.1500","4.5750"
"R13","10KΩ,5%","TopLayer","R0201","2.9750","-3.8750","180","贴片电阻","2.9750","-3.8750","3.2750","-3.8750"
"R12","2.2KΩ,5%","TopLayer","R0201","2.9750","-3.2500","0","贴片电阻","2.9750","-3.2500","2.6750","-3.2500"
"R11","330Ω,5%","TopLayer","R0201","-2.1750","1.6250","0","贴片电阻","-2.1750","1.6250","-2.4750","1.6250"
"R9","10KΩ,5%","TopLayer","R0201","4.9750","-2.6000","180","贴片电阻","4.9750","-2.6000","5.2750","-2.6000"
"R8","10KΩ,5%//NC","TopLayer","R0201","2.1500","2.7250","0","贴片电阻","2.1500","2.7250","1.8500","2.7250"
"R7","100Ω,5%","TopLayer","R0201","-1.9250","2.7750","270","贴片电阻","-1.9250","2.7750","-1.9250","3.0750"
"R6","100Ω,5%","TopLayer","R0201","-1.2750","2.7750","270","贴片电阻","-1.2750","2.7750","-1.2750","3.0750"
"R5","2.2KΩ,5%//NC","TopLayer","R0201","2.1500","2.1000","180","贴片电阻","2.1500","2.1000","2.4500","2.1000"
"R4","0Ω,5%","TopLayer","R0201","4.6750","-4.0250","0","贴片电阻","4.6750","-4.0250","4.3750","-4.0250"
"R3","10KΩ,5%","TopLayer","R0201","-5.1000","-0.3000","0","贴片电阻","-5.1000","-0.3000","-5.4000","-0.3000"
"R2","100Ω,5%","TopLayer","R0201","3.8500","3.1500","90","贴片电阻","3.8500","3.1500","3.8500","2.8500"
"R1","10KΩ,5%","TopLayer","R0201","3.5750","4.0500","0","贴片电阻","3.5750","4.0500","3.2750","4.0500"
"Q2","SXSC568R","TopLayer","SOT-723","3.6248","-1.7251","0","NPN型三极管","3.6248","-1.7251","3.2248","-2.2253"
"Q1","SXSC568R//NC","TopLayer","SOT-723","2.2250","3.7751","0","NPN型三极管","2.2250","3.7751","1.8250","3.2750"
"J1","Connector 6 Pins","TopLayer","A1004LF-06A","0.0000","-6.2000","180","连接器","0.0000","-6.2000","2.5000","-7.2250"
"D10","PT4C121V","TopLayer","SOD-962","-1.6500","-1.9000","90","双向瞬态抑制二极管","-1.6500","-1.9000","-1.6500","-2.1000"
"D9","PT4C121V","TopLayer","SOD-962","4.5250","0.1000","270","双向瞬态抑制二极管","4.5250","0.1000","4.5250","0.3000"
"D8","PT4CR3V3NE","TopLayer","SOD-962","5.1250","1.4000","270","双向静电二极管","5.1250","1.4000","5.1250","1.6000"
"D7","PT4C051V","TopLayer","DFN0603-2L_0.3*0.23_Pitch_0.38","-3.1751","-2.5899","270","双向静电二极管","-3.1751","-2.5898","-3.1750","-2.4000"
"D6","PT4CR3V3NE","TopLayer","SOD-962","5.2750","-1.5500","90","双向静电二极管","5.2750","-1.5500","5.2750","-1.7500"
"D5","PT4CR3V3NE","TopLayer","SOD-962","3.2500","3.3250","90","双向静电二极管","3.2500","3.3250","3.2500","3.1250"
"D4","PT4CR3V3NE","TopLayer","SOD-962","1.0250","-3.1250","0","双向静电二极管","1.0250","-3.1250","0.8250","-3.1250"
"D3","PT4CR3V3NE","TopLayer","SOD-962","-0.2000","-2.6750","270","双向静电二极管","-0.2000","-2.6750","-0.2000","-2.4750"
"D2","PT4CR3V3NE","TopLayer","SOD-962","-1.5000","-2.9250","180","双向静电二极管","-1.5000","-2.9250","-1.3000","-2.9250"
"D1","PT4CR3V3NE","TopLayer","SOD-962","-2.9250","-1.8250","180","双向静电二极管","-2.9250","-1.8250","-2.7250","-1.8250"
"C8","47nF,16V,10%,村田","TopLayer","C0201","4.7000","-1.6750","90","贴片电容","4.7000","-1.6750","4.7000","-1.9750"
"C13","2.2uF,10V,20%,太诱","TopLayer","CC0402-M","2.1500","-2.1500","180","贴片电容","2.1500","-2.1500","2.6000","-2.1500"
"C12","2.2nF,25V,10%,村田","TopLayer","C0201","-2.2250","-1.7000","270","贴片电容","-2.2250","-1.7000","-2.2250","-1.4000"
"C11","2.2uF,10V,20%,太诱","TopLayer","CC0402-M","4.4500","1.3750","270","贴片电容","4.4500","1.3750","4.4500","1.8250"
"C10","0.1uF,16V,10%,村田","TopLayer","C0201","-4.1500","1.3750","270","贴片电容","-4.1500","1.3750","-4.1500","1.6750"
"C9","2.2uF,10V,20%,太诱","TopLayer","C0201","-4.8250","-2.3826","270","贴片电容","-4.8250","-2.3826","-4.8250","-2.0826"
"C7","0.1uF,16V,10%,村田","TopLayer","C0201","3.6250","-0.3000","90","贴片电容","3.6250","-0.3000","3.6250","-0.6000"
"C6","2.2uF,10V,20%,太诱","TopLayer","C0201","2.6250","-0.1500","180","贴片电容","2.6250","-0.1500","2.9250","-0.1500"
"C5","0.1uF,16V,10%,村田","TopLayer","C0201","-0.6500","2.7750","270","贴片电容","-0.6500","2.7750","-0.6500","3.0750"
"C4","0.1uF,16V,10%,村田","TopLayer","C0201","-5.1000","1.1000","0","贴片电容","-5.1000","1.1000","-5.4000","1.1000"
"C3","0.1uF,16V,10%,村田","TopLayer","C0201","2.6250","-0.9000","180","贴片电容","2.6250","-0.9000","2.9250","-0.9000"
"C2","2.2uF,10V,20%,太诱","TopLayer","C0201","2.1750","-1.4500","180","贴片电容","2.1750","-1.4500","2.4750","-1.4500"
"C1","2.2nF,25V,10%,村田","TopLayer","C0201","4.6500","-4.6250","180","贴片电容","4.6500","-4.6250","4.9500","-4.6250"
