Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\CCM4201S_MAIN_Board_V1-PIJIAKUN_20260819\Project Outputs for CCM4201S_MAIN_Board_V1-PIJIAKUN_20260819\Pick Place for CCM4201S_MAIN_Board_V1-PIJIAKUN_20260819_PCB.csv

========================================================================================================================
File Design Information:

Date:       19/08/26
Time:       16:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R20","20K","TopLayer","0402R","29.2100","28.0670","270","RES,20K, 5%, 1/10W, 0201, SMD","29.2100","28.0670","29.2100","28.5115"
"R19","1K","TopLayer","0402R","26.9875","22.4790","180","RES 0603  4.7KΩ±1%  1/8W","26.9875","22.4790","27.4320","22.4790"
"R18","100K","TopLayer","0402R","26.9875","23.4950","0","RES 0603  4.7KΩ±1%  1/8W","26.9875","23.4950","26.5430","23.4950"
"R16","R0402","TopLayer","0402R_RANGE","15.3535","16.5100","0","RES,330R, 5%, 1/10W, 0201, SMD","15.3035","16.5100","14.8590","16.5100"
"R15","R0402","TopLayer","0402R","41.2115","10.1600","0","RES,330R, 5%, 1/10W, 0201, SMD","41.2115","10.1600","40.7670","10.1600"
"R14","R0402","TopLayer","0402R","41.2115","11.1760","0","RES,330R, 5%, 1/10W, 0201, SMD","41.2115","11.1760","40.7670","11.1760"
"R13","R0402","TopLayer","0402R","41.1480","13.3350","0","RES,330R, 5%, 1/10W, 0201, SMD","41.1480","13.3350","40.7035","13.3350"
"R12","R0402","TopLayer","0402R","41.1480","14.3510","0","RES,330R, 5%, 1/10W, 0201, SMD","41.1480","14.3510","40.7035","14.3510"
"R11","R0402","TopLayer","0402R","41.0845","16.1290","0","RES,330R, 5%, 1/10W, 0201, SMD","41.0845","16.1290","40.6400","16.1290"
"R10","R0402","TopLayer","0402R","41.0845","17.1450","0","RES,330R, 5%, 1/10W, 0201, SMD","41.0845","17.1450","40.6400","17.1450"
"R9","R0402","TopLayer","0402R","41.0845","18.2880","0","RES,330R, 5%, 1/10W, 0201, SMD","41.0845","18.2880","40.6400","18.2880"
"R8","R0402","TopLayer","0402R","41.0845","19.1770","0","RES,330R, 5%, 1/10W, 0201, SMD","41.0845","19.1770","40.6400","19.1770"
"R6","R0402","TopLayer","0402R","38.3540","8.6995","270","RES,330R, 5%, 1/10W, 0201, SMD","38.3540","8.6995","38.3540","9.1440"
"R5","R0402","TopLayer","0402R","37.4650","8.6995","270","RES,330R, 5%, 1/10W, 0201, SMD","37.4650","8.6995","37.4650","9.1440"
"R4","R0402","TopLayer","0402R","36.7030","8.6995","270","RES,330R, 5%, 1/10W, 0201, SMD","36.7030","8.6995","36.7030","9.1440"
"R3","R0402","TopLayer","0402R","35.8140","8.6995","270","RES,330R, 5%, 1/10W, 0201, SMD","35.8140","8.6995","35.8140","9.1440"
"R2","R0402","TopLayer","0402R","34.9250","8.6995","270","RES,330R, 5%, 1/10W, 0201, SMD","34.9250","8.6995","34.9250","9.1440"
"R1","R0402","TopLayer","0402R","34.0360","8.6995","270","RES,330R, 5%, 1/10W, 0201, SMD","34.0360","8.6995","34.0360","9.1440"
"Q1","CJ3139K/SOT23","TopLayer","SOT23","26.9875","25.9080","0","SOT23","26.9875","25.8826","26.0350","24.8920"
"P1","TYPE-C_16PIN_2MD(073)","TopLayer","USB-C-SMD_TYPE-C-6PIN-2MD-073","4.2831","15.5902","270","","4.2831","15.5901","6.6581","18.7902"
"LED6","LED_R","TopLayer","LED_G","27.0630","6.0960","0","","27.0620","6.1630","26.3130","6.0960"
"LED5","LED_R","TopLayer","LED_G","27.0630","3.9370","0","","27.0620","4.0040","26.3130","3.9370"
"LED4","LED_R","TopLayer","LED_G","9.5250","23.7370","90","","9.4580","23.7360","9.5250","22.9870"
"LED3","LED_R","TopLayer","LED_G","19.8110","18.1010","180","","19.8120","18.0340","20.5610","18.1010"
"LED2","LED_B","TopLayer","LED_G","19.8110","23.4350","180","","19.8120","23.3680","20.5610","23.4350"
"LED1","LED_G","TopLayer","LED_G","19.8110","20.7680","180","","19.8120","20.7010","20.5610","20.7680"
"JP5","CONDIP2_A","TopLayer","PAIZHEN-1.27-2P","34.6560","19.4310","0","Rechargeable Battery","34.6710","19.4310","34.0210","19.4310"
"JP4","CONDIP2_A","TopLayer","PAIZHEN-1.27-2P","34.6560","21.9710","0","Rechargeable Battery","34.6710","21.9710","34.0210","21.9710"
"JP3","CONDIP2_A","TopLayer","PAIZHEN-1.27-2P","34.6560","16.7900","0","Rechargeable Battery","34.6710","16.7900","34.0210","16.7900"
"JP2","CONDIP2_A","TopLayer","PAIZHEN-1.27-2P","34.6560","14.2630","0","Rechargeable Battery","34.6710","14.2630","34.0210","14.2630"
"JP1","CONDIP2_A","TopLayer","PAIZHEN-1.27-2P","34.6560","11.7360","0","Rechargeable Battery","34.6710","11.7360","34.0210","11.7360"
"J4","AFA01-S10FCA-00","TopLayer","FPC-SMD_10P-P1.0_FGS-XJ-H2.0","45.3390","14.7320","270","","45.3390","14.7320","44.0389","19.2315"
"J3","PIN6-CON","TopLayer","XH6PIN_1.0MM","36.7030","26.9240","180","","36.7030","26.9240","39.2030","25.1240"
"J1","PIN-12","TopLayer","PIN-12","37.3658","4.6285","180","","37.3658","4.6285","40.1161","5.9690"
"F1","FUSE","TopLayer","0603-PUSE","9.8180","18.5420","0","","9.8180","18.5420","8.9680","18.5420"
"D6","RSD6368FT","TopLayer","TVS0402(M)","24.8920","20.3454","90","TRANSIENT VOLTAGE SUPPRESSOR, VBR=220V","24.8920","20.3454","24.8920","19.9390"
"D5","B0520X","TopLayer","SOD523","27.6860","11.0340","90","","27.6860","11.0340","27.6860","11.6840"
"D4","B0520X","TopLayer","SOD523","26.6700","11.0340","270","","26.6700","11.0340","26.6700","10.3840"
"D3","ESD5311N-2/TR","TopLayer","TVS0402(M)","9.0170","16.7640","270","TVS/5V","9.0170","16.7640","9.0170","17.1704"
"D2","ESD5311N-2/TR","TopLayer","TVS0402(M)","9.0170","15.2400","90","TVS/5V","9.0170","15.2400","9.0170","14.8336"
"D1","SES1201NT/SSC","TopLayer","TVS0402(M)","10.3886","19.9390","0","TVS/12V","10.3886","19.9390","9.9822","19.9390"
"C15","0.1uF","TopLayer","0402C","21.8440","5.6515","270","CAP, 0.1uF, 10%, 10V, X5R, 0201","21.8440","5.6515","21.8440","6.0960"
"C14","10uF","TopLayer","L0805","20.3200","5.2210","270","CAP, 10uF, 10%, 16V  6.3*5.3mm SMD","20.3200","5.2210","20.3200","6.0960"
"C13","0.1uF","TopLayer","0402C","18.9230","9.3980","0","CAP, 0.1uF, 10%, 10V, X5R, 0201","18.9230","9.3980","18.4785","9.3980"
"C12","2.2uF","TopLayer","0402C","28.1940","28.0670","90","CAP, 2.2uF, 10%, 10V, X5R, 0201","28.1940","28.0670","28.1940","27.6225"
"C10","1uF","TopLayer","0402C","24.0030","20.4470","90","CAP, 1UF, 10%, 10V, X5R, 0402","24.0030","20.4470","24.0030","20.0025"
"C9","0.1uF","TopLayer","0402C","21.9710","12.7635","270","CAP, 0.1uF, 10%, 10V, X5R, 0402","21.9710","12.7635","21.9710","13.2080"
"C7","0.1uF","TopLayer","0402C","21.0820","12.7635","270","CAP, 0.1uF, 10%, 10V, X5R, 0402","21.0820","12.7635","21.0820","13.2080"
"C6","0.1uF","TopLayer","0402C","25.7810","20.3835","270","CAP, 0.1uF, 10%, 10V, X5R, 0402","25.7810","20.3835","25.7810","20.8280"
"C5","0.1uF","TopLayer","0402C","26.6700","20.3835","90","CAP, 0.1uF, 10%, 10V, X5R, 0402","26.6700","20.3835","26.6700","19.9390"
"C4","4.7uF","TopLayer","0402C","27.5590","20.3835","90","CAP, 1UF, 10%, 10V, X5R, 0402","27.5590","20.3835","27.5590","19.9390"
"C3","0.1uF","TopLayer","0402C","16.7640","25.9715","90","CAP, 0.1uF, 10%, 10V, X5R, 0402","16.7640","25.9715","16.7640","25.5270"
"C2","4.7uF/6.3V","TopLayer","0402C","15.3670","25.9715","90","CAP, 10UF, 20%, 10V, X5R, 0603","15.3670","25.9715","15.3670","25.5270"
"C1","1uF/16V","TopLayer","0402C","9.7790","27.3050","180","CAP, 10UF, 20%, 10V, X5R, 0603","9.7790","27.3050","10.2235","27.3050"
