Altium Designer Pick and Place Locations
C:\Users\JIAKUN PI\Desktop\Prj\Project Outputs for BM22192DA06_PIJIAKUN_20260807\Pick Place for BM22192DA06_PCB.csv

========================================================================================================================
File Design Information:

Date:       07/08/26
Time:       14:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"D13","RSFK9D3NT","TopLayer","D0201-BI_A","11.4817","12.1158","180","","11.4849","12.1161","11.7367","12.1158"
"D12","RSFK9D3NT","TopLayer","D0201-BI_A","10.3387","12.1158","0","","10.3356","12.1155","10.0838","12.1158"
"D11","RSFK9D3NT","TopLayer","D0201-BI_A","9.3971","28.2956","180","","9.4003","28.2959","9.6520","28.2956"
"D10","RSFK9D3NT","TopLayer","D0201-BI_A","11.9371","28.4480","180","","11.9403","28.4483","12.1920","28.4480"
"D9","RSFK9D3NT","TopLayer","D0201-BI_A","13.6389","28.4480","180","","13.6421","28.4483","13.8938","28.4480"
"D8","RSFK9D3NT","TopLayer","D0201-BI_A","3.8782","7.5946","0","TVS","3.8750","7.5943","3.6232","7.5946"
"D7","12V","TopLayer","D0201-BI_A","9.1957","12.0904","180","TVS","9.1989","12.0907","9.4507","12.0904"
"D4","12V","TopLayer","D0201-BI_A","7.6699","22.2250","180","TVS","7.6731","22.2253","7.9248","22.2250"
"D3","TVS/5V","TopLayer","D0201-BI_A","10.7950","21.0067","90","TVS","10.7953","21.0036","10.7950","20.7518"
"D2","5V","TopLayer","D0201-BI_A","7.9257","11.3030","0","TVS","7.9226","11.3027","7.6708","11.3030"
"D1","5V","TopLayer","D0201-BI_A","8.9408","22.5053","270","TVS","8.9405","22.5085","8.9408","22.7603"
"C14","NC","TopLayer","C0201","3.7891","17.3482","0","CAP","3.7891","17.3482","3.5142","17.3482"
"C13","47nF","TopLayer","C0201","4.1656","16.3023","270","CAP","4.1656","16.3023","4.1656","16.5772"
"C11","1uF","TopLayer","C0402","3.6576","10.7371","270","","3.6576","10.7371","3.6576","11.1872"
"C10","1uF","TopLayer","C0402","8.9154","21.0749","270","","8.9154","21.0749","8.9154","21.5250"
"C9","1uF","TopLayer","C0402","5.4793","7.6454","180","","5.4793","7.6454","5.9294","7.6454"
"C8","0.1uF","TopLayer","C0201","13.9192","21.0775","270","CAP","13.9192","21.0775","13.9192","21.3524"
"C7","4.7uF","TopLayer","C0402","11.9126","21.1582","270","","11.9126","21.1582","11.9126","21.6083"
"C6","0.1uF","TopLayer","C0201","8.6868","14.3002","90","CAP","8.6868","14.3002","8.6868","14.0253"
"C5","1uF","TopLayer","C0402","9.5758","14.1295","90","","9.5758","14.1295","9.5758","13.6794"
"C3","2.2nF","TopLayer","C0201","7.6753","21.3614","180","CAP","7.6753","21.3614","7.9502","21.3614"
"C2","2.2uF","TopLayer","C0201","7.9711","12.0904","0","CAP","7.9711","12.0904","7.6962","12.0904"
"C1","2.2uF","TopLayer","C0201","9.8298","22.4237","90","CAP","9.8298","22.4237","9.8298","22.1488"
"Ring1","RING","TopLayer","½ðÊô»·","11.3206","27.9883","0","Metal Ring","11.4046","17.4256","11.1096","27.9846"
